period,동화약품
2018-06-19,18.89816
2018-06-20,17.9014
2018-06-21,16.87769
2018-06-22,16.15032
2018-06-23,6.667560000000001
2018-06-24,6.50592
2018-06-25,16.16379
2018-06-26,16.36584
2018-06-27,15.77316
2018-06-28,15.11314
2018-06-29,15.01885
2018-06-30,4.59321
2018-07-01,4.25646
2018-07-02,16.04256
2018-07-03,17.67241
2018-07-04,16.89116
2018-07-05,15.530710000000001
2018-07-06,15.3556
2018-07-07,5.30711
2018-07-08,5.68426
2018-07-09,19.78717
2018-07-10,17.41648
2018-07-11,15.301720000000001
2018-07-12,17.12015
2018-07-13,16.0695
2018-07-14,4.37769
2018-07-15,4.02747
2018-07-16,15.961739999999999
2018-07-17,16.56788
2018-07-18,16.04256
2018-07-19,15.328660000000001
2018-07-20,12.43265
2018-07-21,3.8523699999999996
2018-07-22,3.6099099999999997
2018-07-23,15.180489999999999
2018-07-24,16.36584
2018-07-25,14.03556
2018-07-26,15.126610000000001
2018-07-27,14.493529999999998
2018-07-28,3.5964400000000003
2018-07-29,3.81196
2018-07-30,15.759689999999999
2018-07-31,16.52747
2018-08-01,17.44342
2018-08-02,15.328660000000001
2018-08-03,16.621760000000002
2018-08-04,4.76831
2018-08-05,4.39116
2018-08-06,17.066270000000003
2018-08-07,15.9348
2018-08-08,17.3626
2018-08-09,14.12984
2018-08-10,13.846979999999999
2018-08-11,3.65032
2018-08-12,4.31034
2018-08-13,15.03232
2018-08-14,16.76993
2018-08-15,8.876610000000001
2018-08-16,23.20851
2018-08-17,21.17456
2018-08-18,7.704739999999999
2018-08-19,10.91056
2018-08-20,23.531779999999998
2018-08-21,20.54148
2018-08-22,18.22467
2018-08-23,18.063029999999998
2018-08-24,17.80711
2018-08-25,5.28017
2018-08-26,4.32381
2018-08-27,18.763460000000002
2018-08-28,18.85775
2018-08-29,16.419710000000002
2018-08-30,16.00215
2018-08-31,15.16702
2018-09-01,3.86584
2018-09-02,4.13523
2018-09-03,15.746220000000001
2018-09-04,16.82381
2018-09-05,18.2112
2018-09-06,16.9181
2018-09-07,15.126610000000001
2018-09-08,5.68426
2018-09-09,6.97737
2018-09-10,21.13415
2018-09-11,20.66271
2018-09-12,21.63254
2018-09-13,20.46066
2018-09-14,21.72683
2018-09-15,10.15625
2018-09-16,14.601289999999999
2018-09-17,18.44019
2018-09-18,19.38308
2018-09-19,17.87446
2018-09-20,16.285020000000003
2018-09-21,14.547410000000001
2018-09-22,4.64709
2018-09-23,3.54256
2018-09-24,5.347519999999999
2018-09-25,3.7311400000000003
2018-09-26,4.67403
2018-09-27,18.763460000000002
2018-09-28,18.57489
2018-09-29,8.60721
2018-09-30,7.960660000000001
2018-10-01,17.24137
2018-10-02,17.38954
2018-10-03,5.94019
2018-10-04,18.44019
2018-10-05,17.91487
2018-10-06,4.9703599999999994
2018-10-07,4.12176
2018-10-08,16.58135
2018-10-09,6.25
2018-10-10,19.57165
2018-10-11,18.73653
2018-10-12,18.4806
2018-10-13,4.64709
2018-10-14,4.40463
2018-10-15,16.75646
2018-10-16,16.66217
2018-10-17,18.13038
2018-10-18,16.7834
2018-10-19,17.376070000000002
2018-10-20,5.48221
2018-10-21,3.89278
2018-10-22,15.46336
2018-10-23,17.79364
2018-10-24,16.94504
2018-10-25,17.066270000000003
2018-10-26,18.49407
2018-10-27,4.90301
2018-10-28,4.43157
2018-10-29,20.325960000000002
2018-10-30,20.09698
2018-10-31,26.387390000000003
2018-11-01,23.935879999999997
2018-11-02,19.96228
2018-11-03,4.83566
2018-11-04,5.10506
2018-11-05,26.22575
2018-11-06,21.2015
2018-11-07,18.39978
2018-11-08,18.817339999999998
2018-11-09,17.01239
2018-11-10,4.849130000000001
2018-11-11,4.40463
2018-11-12,16.796870000000002
2018-11-13,17.0528
2018-11-14,18.036089999999998
2018-11-15,15.73275
2018-11-16,14.722520000000001
2018-11-17,4.067880000000001
2018-11-18,4.13523
2018-11-19,16.13685
2018-11-20,16.44665
2018-11-21,15.28825
2018-11-22,15.42295
2018-11-23,13.038789999999999
2018-11-24,4.05441
2018-11-25,3.6233800000000005
2018-11-26,17.887929999999997
2018-11-27,16.98545
2018-11-28,16.00215
2018-11-29,15.9348
2018-11-30,13.7931
2018-12-01,4.62015
2018-12-02,8.40517
2018-12-03,34.92726
2018-12-04,20.83782
2018-12-05,17.42995
2018-12-06,17.16056
2018-12-07,17.53771
2018-12-08,5.15894
2018-12-09,5.2262900000000005
2018-12-10,15.11314
2018-12-11,16.76993
2018-12-12,15.05926
2018-12-13,15.03232
2018-12-14,14.089429999999998
2018-12-15,5.49568
2018-12-16,4.00053
2018-12-17,17.09321
2018-12-18,24.35344
2018-12-19,18.38631
2018-12-20,18.37284
2018-12-21,17.56465
2018-12-22,5.37446
2018-12-23,4.013999999999999
2018-12-24,13.90086
