period,price,volume
2019-05-30,2550,26614
2019-05-31,2535,11290
2019-06-03,2545,8890
2019-06-04,2570,26557
2019-06-05,2560,28240
2019-06-07,2550,24771
2019-06-10,2570,20560
2019-06-11,2590,27455
2019-06-12,2580,16061
2019-06-13,2580,24712
2019-06-14,2590,25008
2019-06-17,2610,36610
2019-06-18,2605,14265
2019-06-19,2590,30754
2019-06-20,2610,35941
2019-06-21,2610,22051
2019-06-24,2610,12396
2019-06-25,2590,14518
2019-06-26,2585,24322
2019-06-27,2585,10652
2019-06-28,2595,10680
2019-07-01,2590,40068
2019-07-02,2570,73785
2019-07-03,2560,36558
2019-07-04,3325,8603093
2019-07-05,3525,27386063
2019-07-08,4520,41753590
2019-07-09,4300,18790551
2019-07-10,4305,11363740
2019-07-11,3920,7760348
2019-07-12,3920,8856527
2019-07-15,4305,35412631
2019-07-16,4170,9301327
2019-07-17,4550,29511873
2019-07-18,4350,9208164
2019-07-19,4000,5931237
2019-07-22,4095,6069761
2019-07-23,4150,4346540
2019-07-24,3935,3450751
2019-07-25,4525,32066549
2019-07-26,4550,22977706
2019-07-29,5910,41825241
2019-07-30,6670,36685547
2019-07-31,5760,13022309
2019-08-01,5530,39770187
2019-08-02,6490,32875405
2019-08-05,7810,44249462
2019-08-06,8100,28483710
2019-08-07,7890,17228310
2019-08-08,7250,10353405
2019-08-09,7000,9320951
2019-08-12,7800,23631616
2019-08-13,7190,7976220
2019-08-14,6870,12501642
2019-08-16,6670,9514350
2019-08-19,6430,4889659
2019-08-20,6250,4738306
2019-08-21,6400,7539085
2019-08-22,5900,4318716
2019-08-23,6930,25355461
2019-08-26,6860,12404859
2019-08-27,7250,11964165
2019-08-28,6470,7060874
2019-08-29,6120,5027558
2019-08-30,5680,5677447
2019-09-02,5680,3586118
2019-09-03,5750,2870319
2019-09-04,5550,2496432
2019-09-05,5350,2714131
2019-09-06,5330,3965664
2019-09-09,5240,4544930
2019-09-10,5130,1439444
2019-09-11,5230,1797178
2019-09-16,5300,1465610
2019-09-17,5350,1663894
2019-09-18,4970,2921298
2019-09-19,4965,1195957
2019-09-20,4835,1636764
2019-09-23,4845,1271444
2019-09-24,4750,1058235
2019-09-25,4605,5131563
2019-09-26,4565,1276127
2019-09-27,4590,930276
2019-09-30,4520,947700
2019-10-01,4525,816195
2019-10-02,4390,1867283
2019-10-04,4500,1837173
2019-10-07,4560,814838
2019-10-08,4460,877339
2019-10-10,4495,565916
2019-10-11,4445,576567
2019-10-14,4450,302809
2019-10-15,4365,449916
2019-10-16,4460,472826
2019-10-17,4435,478418
2019-10-18,4485,8840520
2019-10-21,4145,2698391
2019-10-22,4160,2639978
2019-10-23,4035,843478
2019-10-24,4260,2886838
2019-10-25,4045,1329433
2019-10-28,4095,602989
2019-10-29,4155,672117
2019-10-30,4195,467945
2019-10-31,4300,1767285
2019-11-01,4320,8462875
2019-11-04,4180,1267061
2019-11-05,4090,1037580
2019-11-06,4140,667365
2019-11-07,4110,354118
2019-11-08,4130,413783
2019-11-11,4075,394166
2019-11-12,4190,907904
2019-11-13,4155,940784
2019-11-14,4080,1252662
2019-11-15,4015,862750
