period,ratio
2017-11-14,4.79358
2017-11-15,45.91713
2017-11-16,35.64191
2017-11-17,11.69665
2017-11-18,2.90337
2017-11-19,2.96385
2017-11-20,10.22985
2017-11-21,8.09768
2017-11-22,6.58551
2017-11-23,6.14698
2017-11-24,6.41917
2017-11-25,1.33071
2017-11-26,1.33827
2017-11-27,4.85407
2017-11-28,4.61968
2017-11-29,4.46847
2017-11-30,4.49871
2017-12-01,4.11311
2017-12-02,1.11144
2017-12-03,1.06608
2017-12-04,4.66505
2017-12-05,4.7331
2017-12-06,4.46847
2017-12-07,4.27944
2017-12-08,3.47799
2017-12-09,1.06608
2017-12-10,0.89974
2017-12-11,4.18871
2017-12-12,3.93164
2017-12-13,3.63677
2017-12-14,3.79555
2017-12-15,3.13019
2017-12-16,0.96779
2017-12-17,0.5973
2017-12-18,4.46091
2017-12-19,4.0753
2017-12-20,3.38726
2017-12-21,5.28504
2017-12-22,12.01421
2017-12-23,2.41191
2017-12-24,2.09435
2017-12-25,3.59141
2017-12-26,9.35278
2017-12-27,6.13186
2017-12-28,4.81627
2017-12-29,2.45728
2017-12-30,0.92242
2017-12-31,0.64267
2018-01-01,0.9451
2018-01-02,4.64237
2018-01-03,5.05821
2018-01-04,4.18115
2018-01-05,4.39286
2018-01-06,1.48949
2018-01-07,1.119
2018-01-08,4.4231
2018-01-09,4.11311
2018-01-10,3.90896
2018-01-11,4.0753
2018-01-12,4.00725
2018-01-13,1.13412
2018-01-14,0.84681
2018-01-15,4.52895
2018-01-16,4.37774
2018-01-17,4.20384
2018-01-18,3.81823
2018-01-19,3.56872
2018-01-20,1.10388
2018-01-21,1.03583
2018-01-22,4.23408
2018-01-23,4.65749
2018-01-24,4.58944
2018-01-25,4.20384
2018-01-26,31.42295
2018-01-27,17.28413
2018-01-28,15.5905
2018-01-29,94.76788
2018-01-30,100.0
2018-01-31,51.8146
2018-02-01,38.97625
2018-02-02,29.48737
2018-02-03,20.83774
2018-02-04,14.8949
2018-02-05,63.03493
2018-02-06,40.02721
2018-02-07,38.14456
2018-02-08,26.6596
2018-02-09,59.05791
2018-02-10,12.52835
2018-02-11,16.58853
2018-02-12,48.60123
2018-02-13,27.46106
2018-02-14,22.42552
2018-02-15,4.43822
2018-02-16,4.30969
2018-02-17,4.74066
2018-02-18,4.80114
2018-02-19,20.6714
2018-02-20,28.44397
2018-02-21,21.72992
2018-02-22,18.16875
2018-02-23,17.93437
2018-02-24,4.88431
2018-02-25,4.54407
2018-02-26,16.37683
2018-02-27,15.8022
2018-02-28,21.60895
2018-03-01,6.24527
2018-03-02,13.4659
2018-03-03,3.31921
2018-03-04,3.70482
2018-03-05,12.91395
2018-03-06,11.99909
2018-03-07,10.99349
2018-03-08,10.39618
2018-03-09,10.58521
2018-03-10,3.31165
2018-03-11,2.78995
2018-03-12,13.89686
2018-03-13,13.82126
2018-03-14,9.43595
2018-03-15,9.13352
2018-03-16,8.71767
2018-03-17,2.28338
2018-03-18,1.91289
2018-03-19,9.38303
2018-03-20,17.8512
2018-03-21,11.19008
2018-03-22,9.76107
2018-03-23,8.50597
2018-03-24,2.38167
2018-03-25,2.46484
2018-03-26,9.17889
2018-03-27,9.85936
2018-03-28,9.08059
2018-03-29,8.01451
2018-03-30,7.89354
2018-03-31,1.85997
2018-04-01,1.73899
2018-04-02,6.62331
2018-04-03,6.61575
2018-04-04,6.35112
2018-04-05,6.80477
2018-04-06,5.91259
2018-04-07,1.61046
2018-04-08,1.39119
2018-04-09,5.88991
2018-04-10,5.37577
2018-04-11,5.26992
2018-04-12,5.37577
2018-04-13,16.05171
2018-04-14,3.40238
2018-04-15,2.57069
