sector,code,company
산업재,007610,선도전기
산업재,089230,THE E&M
산업재,072520,제넨바이오
산업재,058860,KTis
산업재,034300,신세계건설
산업재,052300,W홀딩컴퍼니
산업재,255220,SG
산업재,014280,금강공업
산업재,021320,KCC건설
산업재,001260,남광토건
산업재,011700,한신기계
산업재,001880,삼호
산업재,091590,남화토건
산업재,042940,상지카일룸
산업재,033430,디에스티
산업재,095570,AJ네트웍스
산업재,009160,SIMPAC
산업재,025900,동화기업
산업재,053590,한국테크놀로지
산업재,229640,LS전선아시아
산업재,022220,정산애강
산업재,090850,이지웰페어
산업재,005960,동부건설
산업재,099440,스맥
산업재,147830,제룡산업
산업재,003010,혜인
산업재,005430,한국공항
산업재,046940,우원개발
산업재,105840,우진
산업재,066620,국보디자인
산업재,094820,일진파워
산업재,004440,대림씨엔에스
산업재,075580,세진중공업
산업재,225530,보광산업
산업재,000320,노루홀딩스
산업재,071670,에이테크솔루션
산업재,011560,세보엠이씨
산업재,041440,에버다임
산업재,096350,대창솔루션
산업재,103590,일진전기
산업재,003280,흥아해운
산업재,042370,비츠로테크
산업재,171120,라이온켐텍
산업재,051490,나라엠앤디
산업재,067900,와이엔텍
산업재,050860,아세아텍
산업재,119850,지엔씨에너지
산업재,000850,화천기공
산업재,011090,에넥스
산업재,037440,희림
산업재,090410,덕신하우징
산업재,103230,에스앤더블류
산업재,015230,대창단조
산업재,105740,디케이락
산업재,009440,KC그린홀딩스
산업재,017550,수산중공업
산업재,024840,KBI메탈
산업재,006050,국영지앤엠
산업재,003100,선광
산업재,044060,조광ILI
산업재,226360,이엑스티
산업재,228340,동양파일
산업재,011810,STX
산업재,221840,하이즈항공
산업재,003070,코오롱글로벌
산업재,108380,대양전기공업
산업재,000500,가온전선
산업재,006920,모헨즈
산업재,054930,유신
산업재,060370,KT서브마린
산업재,049430,코메론
산업재,004910,조광페인트
산업재,005750,대림B&Co
산업재,004140,동방
산업재,010240,흥국
산업재,119650,KC코트렐
산업재,148140,비디아이
산업재,013360,일성건설
산업재,064820,케이프
산업재,017000,신원종합개발
산업재,133820,화인베스틸
산업재,054540,삼영엠텍
산업재,071950,코아스
산업재,065450,빅텍
산업재,100840,S&TC
산업재,015590,큐로
산업재,003800,에이스침대
산업재,013810,스페코
산업재,033540,파라텍
산업재,003480,한진중공업홀딩스
산업재,100660,서암기계공업
산업재,049800,우진플라임
산업재,010400,우진아이엔에스
산업재,044180,KD
산업재,060260,뉴보텍
산업재,028040,미래SCI
산업재,024880,케이피에프
산업재,094280,효성ITX
산업재,039020,이건홀딩스
산업재,083650,비에이치아이
산업재,004200,고려개발
산업재,092460,한라IMS
산업재,071970,STX중공업
산업재,000910,유니온
산업재,023350,한국종합기술
산업재,019990,에너토크
산업재,230980,솔트웍스
산업재,237750,피앤씨테크
산업재,092440,기신정기
산업재,198440,고려시멘트
산업재,002410,범양건영
산업재,038390,레드캡투어
산업재,008470,부스타
산업재,014130,한익스프레스
산업재,076080,웰크론한텍
산업재,009180,한솔로지스틱스
산업재,189860,서전기전
산업재,084670,동양고속
산업재,013700,까뮤이앤씨
산업재,138070,신진에스엠
산업재,077970,STX엔진
산업재,129260,인터지스
산업재,119500,포메탈
산업재,086670,비엠티
산업재,114190,웰크론강원
산업재,163560,동일고무벨트
산업재,011160,두산건설
산업재,035200,프럼파스트
산업재,079650,서산
산업재,051980,센트럴바이오
산업재,141070,맥스로텍
산업재,104460,동양피엔에프
산업재,101170,우림기계
산업재,109860,동일금속
산업재,054220,비츠로시스
산업재,010660,화천기계
산업재,101930,인화정공
산업재,002290,삼일기업공사
산업재,043340,에쎈테크
산업재,038010,제일테크노스
산업재,044780,에이치케이
산업재,007680,대원
산업재,032280,삼일
산업재,099410,동방선기
산업재,023960,에쓰씨엔지니어링
산업재,192390,윈하이텍
산업재,158310,스타모빌리티
산업재,048770,TPC
산업재,263540,샘코
산업재,101670,코리아에스이
산업재,134790,시디즈
산업재,069140,누리플랜
산업재,079000,와토스코리아
산업재,001140,카리스국보
산업재,014940,오리엔탈정공
산업재,000650,천일고속
산업재,005450,신한
산업재,215090,유니맥스글로벌
산업재,025950,동신건설
산업재,006570,대림통상
산업재,258610,이더블유케이
산업재,054410,케이피티유
산업재,073190,듀오백
산업재,025890,한국주강
산업재,008830,대동기어
경기관련소비재,005380,현대차
경기관련소비재,012330,현대모비스
경기관련소비재,051900,LG생활건강
경기관련소비재,000270,기아차
경기관련소비재,090430,아모레퍼시픽
경기관련소비재,021240,웅진코웨이
